Gene,EEG_count,EEG_present,Cardiology_count,Cardiology_present,Endocrinology_count,Endocrinology_present,Immunology_count,Immunology_present,Oncology_count,Oncology_present,Domains_present,NonEEG_domains_present
MET,1342,1,24589,1,12910,1,9026,1,40514,1,5,4
BDNF,239,1,1749,1,938,1,1445,1,838,1,5,4
SCN1A,212,1,26,1,10,1,9,1,12,1,5,4
IL6,190,1,16890,1,10322,1,44910,1,17627,1,5,4
APP,188,1,1763,1,1917,1,1249,1,2140,1,5,4
TNF,183,1,18731,1,12436,1,52150,1,21428,1,5,4
F2,166,1,1503,1,1028,1,773,1,1360,1,5,4
MTOR,120,1,2869,1,2603,1,2229,1,21243,1,5,4
INS,119,1,1584,1,3176,1,1685,1,5915,1,5,4
MECP2,115,1,83,1,66,1,96,1,189,1,5,4
APOE,103,1,9183,1,3714,1,1745,1,615,1,5,4
LEP,102,1,124,1,401,1,116,1,318,1,5,4
SCN2A,87,1,6,1,6,1,3,1,48,1,5,4
COMT,75,1,217,1,78,1,29,1,438,1,5,4
TSC1,60,1,92,1,60,1,41,1,1647,1,5,4
ACE,59,1,16808,1,4295,1,1431,1,1410,1,5,4
TSC2,59,1,117,1,86,1,30,1,2068,1,5,4
GBA,56,1,59,1,453,1,64,1,122,1,5,4
SCN8A,55,1,11,1,7,1,3,1,14,1,5,4
ATM,54,1,1813,1,1492,1,444,1,5690,1,5,4
F5,45,1,240,1,58,1,56,1,258,1,5,4
IL10,41,1,4884,1,2942,1,17618,1,7239,1,5,4
GRIN2A,38,1,5,1,2,1,10,1,45,1,5,4
KIT,37,1,3869,1,2549,1,3234,1,22440,1,5,4
SLC2A1,36,1,32,1,168,1,30,1,263,1,5,4
PTEN,31,1,922,1,711,1,500,1,13545,1,5,4
ATR,29,1,346,1,308,1,118,1,2087,1,5,4
IGF1,26,1,1634,1,2419,1,950,1,4108,1,5,4
DRD4,26,1,7,1,8,1,6,1,28,1,5,4
MAOA,26,1,109,1,68,1,42,1,209,1,5,4
PSEN1,26,1,46,1,77,1,30,1,60,1,5,4
GABRA1,24,1,7,1,5,1,1,1,13,1,5,4
SLC6A1,23,1,3,1,3,1,1,1,18,1,5,4
DRD2,21,1,31,1,47,1,33,1,159,1,5,4
APC,20,1,1839,1,723,1,1469,1,11192,1,5,4
BRAF,17,1,379,1,299,1,192,1,18174,1,5,4
TLR4,14,1,3015,1,1565,1,7657,1,2116,1,5,4
PROC,14,1,254,1,178,1,96,1,899,1,5,4
LPA,12,1,4115,1,2150,1,591,1,1271,1,5,4
AMPK,12,1,2719,1,4411,1,1753,1,4217,1,5,4
STAT3,11,1,2568,1,1110,1,4031,1,14274,1,5,4
SCN5A,11,1,1568,1,23,1,9,1,27,1,5,4
MAPT,11,1,51,1,549,1,43,1,113,1,5,4
ERBB4,11,1,115,1,63,1,40,1,747,1,5,4
KCNH2,10,1,647,1,15,1,3,1,28,1,5,4
MTHFR,10,1,1999,1,1098,1,234,1,1463,1,5,4
MAOB,10,1,87,1,60,1,48,1,141,1,5,4
AKT1,8,1,548,1,491,1,305,1,2891,1,5,4
CACNA1C,8,1,240,1,33,1,6,1,38,1,5,4
EGFR,7,1,8241,1,6480,1,2786,1,43585,1,5,4
KCNQ1,7,1,926,1,267,1,12,1,87,1,5,4
GRIN1,7,1,11,1,4,1,4,1,14,1,5,4
GAD1,7,1,9,1,22,1,14,1,31,1,5,4
LRRK2,7,1,17,1,62,1,97,1,113,1,5,4
CLU,7,1,71,1,59,1,66,1,274,1,5,4
RYR2,6,1,1169,1,83,1,25,1,63,1,5,4
PSEN2,6,1,25,1,41,1,8,1,16,1,5,4
SLC6A4,5,1,29,1,15,1,8,1,36,1,5,4
TPH2,5,1,14,1,20,1,17,1,15,1,5,4
TREM2,5,1,164,1,206,1,388,1,180,1,5,4
CR1,5,1,132,1,49,1,348,1,1337,1,5,4
