Gene,EEG_count,EEG_present,Cardiology_count,Cardiology_present,Endocrinology_count,Endocrinology_present,Immunology_count,Immunology_present,Oncology_count,Oncology_present,Domains_present,NonEEG_domains_present,Entropy,H_norm,Domain_Degree,Betweenness
MET,1337,1,24541,1,12887,1,8997,1,40395,1,5,4,1.291118041815622,0.8022167440202437,5,0.009587072075673761
BDNF,238,1,1746,1,936,1,1440,1,836,1,5,4,1.466041958634196,0.9109030844296233,5,0.00576078209371714
SCN1A,211,1,26,1,10,1,9,1,12,1,5,4,0.7903439652990246,0.4910683159586536,5,0.0
IL6,190,1,16848,1,10300,1,44790,1,17592,1,5,4,1.2418655090216832,0.7716144247798267,5,0.0006457078347679283
APP,186,1,1762,1,1912,1,1242,1,2134,1,5,4,1.4523644608065625,0.9024047772119514,5,0.010064305664829024
TNF,182,1,18688,1,12413,1,52038,1,21400,1,5,4,1.2433801266259925,0.772555509609883,5,0.0006457078347679283
F2,165,1,1502,1,1028,1,773,1,1356,1,5,4,1.4583410809201731,0.9061182600791293,5,0.011169330279163593
MTOR,119,1,2861,1,2591,1,2223,1,21191,1,5,4,0.8929112516100792,0.5547969540866897,5,0.0009722050116241467
INS,119,1,1584,1,3171,1,1683,1,5912,1,5,4,1.2788470571416817,0.794592352560879,5,0.011558578505418887
MECP2,114,1,82,1,65,1,96,1,189,1,5,4,1.538002883866201,0.9556149211995003,5,0.023018705547199335
APOE,103,1,9161,1,3710,1,1739,1,613,1,5,4,1.0602813425614015,0.6587898385951658,5,0.0007100351655420762
LEP,102,1,123,1,400,1,116,1,316,1,5,4,1.447141998002609,0.899159878627417,5,0.009620296091372245
SCN2A,86,1,6,1,6,1,3,1,48,1,5,4,1.0194599536040736,0.633426083558732,5,0.0017534525553282913
COMT,75,1,216,1,78,1,29,1,437,1,5,4,1.2432671519318774,0.772485314485708,5,0.009651454321792857
TSC1,60,1,92,1,60,1,41,1,1644,1,5,4,0.5721631156322018,0.3555049320087577,5,6.630452336438095e-05
ACE,59,1,16801,1,4294,1,1429,1,1408,1,5,4,0.906610701282173,0.5633089007522027,5,0.0004878308657242716
TSC2,59,1,116,1,86,1,30,1,2065,1,5,4,0.5325433253575673,0.3308877722112022,5,6.630452336438095e-05
GBA,56,1,59,1,452,1,64,1,121,1,5,4,1.2027390865671816,0.7473038116445071,5,0.00042046188092747117
SCN8A,55,1,11,1,7,1,3,1,14,1,5,4,1.1593187401855638,0.7203252335669289,5,0.00010519324930140362
ATM,54,1,1813,1,1492,1,443,1,5685,1,5,4,1.0865460833804859,0.6751090396132168,5,0.003746613312747657
F5,45,1,239,1,57,1,56,1,258,1,5,4,1.341563799280923,0.8335604554337566,5,0.007074943180911158
IL10,41,1,4875,1,2933,1,17582,1,7222,1,5,4,1.1758316271623404,0.7305852671160347,5,0.0005153954386203152
GRIN2A,38,1,5,1,2,1,10,1,45,1,5,4,1.1852959763581123,0.7364657979042389,5,0.0037218107709534143
KIT,37,1,3864,1,2545,1,3231,1,22400,1,5,4,0.9457520376345045,0.5876287804132544,5,0.0011802173839159564
SLC2A1,35,1,32,1,168,1,29,1,263,1,5,4,1.2211004173905786,0.7587123479300899,5,0.008561400203432374
PTEN,30,1,921,1,706,1,499,1,13530,1,5,4,0.55521869133414,0.3449767692463712,5,0.00017649135217268457
ATR,29,1,346,1,307,1,117,1,2082,1,5,4,0.9042567021387583,0.5618462788484758,5,0.0009817907537127016
IGF1,26,1,1633,1,2413,1,948,1,4106,1,5,4,1.2709130435381044,0.7896626727377052,5,0.014879285860043652
DRD4,26,1,7,1,8,1,6,1,28,1,5,4,1.3972254939891977,0.8681450108727995,5,0.0068600732155240495
MAOA,26,1,109,1,68,1,41,1,208,1,5,4,1.3670929576673612,0.849422613389156,5,0.012704936818867491
PSEN1,25,1,46,1,77,1,30,1,60,1,5,4,1.5279050748171987,0.949340799674843,5,0.0078953184770443
GABRA1,24,1,7,1,5,1,1,1,13,1,5,4,1.2862991218049786,0.7992225806707826,5,0.005107841504145808
SLC6A1,23,1,3,1,3,1,1,1,18,1,5,4,1.1475607538089312,0.7130195858710511,5,0.005107841504145808
DRD2,21,1,31,1,47,1,33,1,159,1,5,4,1.299831756881218,0.8076308796002969,5,0.010902997104768096
APC,20,1,1836,1,719,1,1464,1,11184,1,5,4,0.8597234705903796,0.5341762263386358,5,0.0008798441225317363
BRAF,17,1,375,1,298,1,192,1,18133,1,5,4,0.24052680336718119,0.14944770562998014,5,3.387370586866869e-05
TLR4,14,1,3006,1,1556,1,7638,1,2110,1,5,4,1.1929884097543877,0.7412453755051179,5,0.00022658894223305499
PROC,14,1,254,1,178,1,96,1,899,1,5,4,1.0841140722192188,0.6735979461174827,5,0.002682803767143485
LPA,12,1,4107,1,2149,1,590,1,1268,1,5,4,1.1865507563791142,0.7372454365664749,5,0.003939841786403035
AMPK,12,1,2710,1,4393,1,1746,1,4208,1,5,4,1.3329419214294718,0.8282033815231441,5,0.01373469967821904
STAT3,11,1,2562,1,1108,1,4017,1,14233,1,5,4,0.9969461048303445,0.6194374428042221,5,0.001497380374311329
SCN5A,11,1,1565,1,23,1,9,1,27,1,5,4,0.23191541806641364,0.14409715110766014,5,2.9559562518474725e-06
MAPT,11,1,51,1,549,1,43,1,113,1,5,4,0.9241394374147038,0.5742001168700215,5,9.420148539800109e-05
ERBB4,11,1,114,1,63,1,40,1,747,1,5,4,0.8136407219270081,0.5055434047135529,5,0.0008310209970473962
KCNH2,10,1,645,1,15,1,3,1,28,1,5,4,0.371465631065743,0.23080457356937834,5,1.1300407841708017e-05
MTHFR,10,1,1999,1,1097,1,234,1,1462,1,5,4,1.2242771941763055,0.76068619032636,5,0.011305191624661225
MAOB,10,1,87,1,60,1,48,1,141,1,5,4,1.393221075477245,0.865656925758726,5,0.01244204288869756
AKT1,8,1,546,1,488,1,303,1,2887,1,5,4,0.9748300158529073,0.6056959441067116,5,0.0011802173839159564
