Gene,EEG_count,EEG_present,Cardiology_count,Cardiology_present,Endocrinology_count,Endocrinology_present,Immunology_count,Immunology_present,Oncology_count,Oncology_present,Domains_present,NonEEG_domains_present,Entropy,H_norm,Domain_Degree,Betweenness
MECP2,114,1,82,1,65,1,96,1,189,1,5,4,1.538002883866201,0.9556149211995003,5,0.023018705547199335
TPH2,5,1,14,1,20,1,17,1,15,1,5,4,1.5345951233271216,0.9534975605279565,5,0.008362496198330608
PSEN1,25,1,46,1,77,1,30,1,60,1,5,4,1.5279050748171987,0.949340799674843,5,0.0078953184770443
GRIN1,7,1,11,1,4,1,4,1,14,1,5,4,1.4879950404153859,0.9245433010615208,5,0.0072539875287309956
GAD1,7,1,9,1,22,1,14,1,31,1,5,4,1.4694462443343779,0.9130182860623681,5,0.00739026106446778
BDNF,238,1,1746,1,936,1,1440,1,836,1,5,4,1.466041958634196,0.9109030844296233,5,0.00576078209371714
F2,165,1,1502,1,1028,1,773,1,1356,1,5,4,1.4583410809201731,0.9061182600791293,5,0.011169330279163593
APP,186,1,1762,1,1912,1,1242,1,2134,1,5,4,1.4523644608065625,0.9024047772119514,5,0.010064305664829024
LEP,102,1,123,1,400,1,116,1,316,1,5,4,1.447141998002609,0.899159878627417,5,0.009620296091372245
HTR1A,2,1,5,1,6,1,14,1,12,1,5,4,1.43408156533674,0.8910449755516491,5,0.006871808553107054
HTR2A,2,1,25,1,19,1,26,1,39,1,5,4,1.4177108790136224,0.8808732962363789,5,0.008125763943307376
DRD4,26,1,7,1,8,1,6,1,28,1,5,4,1.3972254939891977,0.8681450108727995,5,0.0068600732155240495
SLC6A4,5,1,29,1,15,1,8,1,36,1,5,4,1.3932259902862125,0.8656599795012343,5,0.005363601147032179
MAOB,10,1,87,1,60,1,48,1,141,1,5,4,1.393221075477245,0.865656925758726,5,0.01244204288869756
PSEN2,6,1,25,1,41,1,8,1,16,1,5,4,1.3927246595750742,0.8653484852166364,5,0.004231167394019902
SIRT1,4,1,1750,1,1859,1,1454,1,1709,1,5,4,1.3865244823368053,0.8614960984980385,5,0.0074080094437651706
SORL1,2,1,12,1,23,1,6,1,21,1,5,4,1.377522628159257,0.8559029320217164,5,0.016183276207578097
PINK1,4,1,394,1,332,1,212,1,393,1,5,4,1.3758358494186935,0.8548548774633319,5,0.007672034093481202
ABCA7,0,0,10,1,15,1,10,1,13,1,4,4,1.370851083332765,0.8517576681535365,4,0.011610526311801858
MAOA,26,1,109,1,68,1,41,1,208,1,5,4,1.3670929576673612,0.849422613389156,5,0.012704936818867491
