Gene,EEG_count,EEG_present,Cardiology_count,Cardiology_present,Endocrinology_count,Endocrinology_present,Immunology_count,Immunology_present,Oncology_count,Oncology_present,Domains_present,NonEEG_domains_present,Entropy,H_norm,Domain_Degree,Betweenness
MECP2,114,1,82,1,65,1,96,1,189,1,5,4,1.538002883866201,0.9556149211995003,5,0.023018705547199335
GABRB2,10,1,1,1,1,1,0,0,16,1,4,3,0.9255162785363127,0.5750555963582153,4,0.02240932981345566
GJA1,1,1,90,1,19,1,19,1,69,1,5,4,1.202282685460952,0.747020233693035,5,0.017686825461429762
SORL1,2,1,12,1,23,1,6,1,21,1,5,4,1.377522628159257,0.8559029320217164,5,0.016183276207578097
IGF1,26,1,1633,1,2413,1,948,1,4106,1,5,4,1.2709130435381044,0.7896626727377052,5,0.014879285860043652
AMPK,12,1,2710,1,4393,1,1746,1,4208,1,5,4,1.3329419214294718,0.8282033815231441,5,0.01373469967821904
PPARG,0,0,218,1,612,1,202,1,445,1,4,4,1.2809956278052503,0.7959273345735242,4,0.01316590546370925
MAOA,26,1,109,1,68,1,41,1,208,1,5,4,1.3670929576673612,0.849422613389156,5,0.012704936818867491
NOTCH3,2,1,839,1,64,1,64,1,635,1,5,4,0.971215896866595,0.6034503657228606,5,0.012540758627568118
MAOB,10,1,87,1,60,1,48,1,141,1,5,4,1.393221075477245,0.865656925758726,5,0.01244204288869756
ANGPTL4,1,1,182,1,212,1,83,1,252,1,5,4,1.3287905508793,0.8256239899740205,5,0.012218967078135278
ABCA7,0,0,10,1,15,1,10,1,13,1,4,4,1.370851083332765,0.8517576681535365,4,0.011610526311801858
INS,119,1,1584,1,3171,1,1683,1,5912,1,5,4,1.2788470571416817,0.794592352560879,5,0.011558578505418887
MTHFR,10,1,1999,1,1097,1,234,1,1462,1,5,4,1.2242771941763055,0.76068619032636,5,0.011305191624661225
SIRT3,4,1,570,1,351,1,221,1,400,1,5,4,1.3477770419289687,0.837420960147883,5,0.011245703515872054
F2,165,1,1502,1,1028,1,773,1,1356,1,5,4,1.4583410809201731,0.9061182600791293,5,0.011169330279163593
DRD2,21,1,31,1,47,1,33,1,159,1,5,4,1.299831756881218,0.8076308796002969,5,0.010902997104768096
NFKB1,1,1,122,1,88,1,249,1,371,1,5,4,1.2486792008930354,0.7758480095728226,5,0.010827744035602502
APP,186,1,1762,1,1912,1,1242,1,2134,1,5,4,1.4523644608065625,0.9024047772119514,5,0.010064305664829024
FOXO1,0,0,440,1,1102,1,397,1,1436,1,4,4,1.246416325265554,0.7744420058929049,4,0.009926693561174794
