Gene,EEG_count,EEG_present,Cardiology_count,Cardiology_present,Endocrinology_count,Endocrinology_present,Immunology_count,Immunology_present,Oncology_count,Oncology_present,Domains_present,NonEEG_domains_present,Entropy,H_norm,Domain_Degree,Betweenness
NTRK3,0,0,12,1,1,1,8,1,705,1,4,4,0.15506535488478498,0.09634752212980087,4,2.7904636084308295e-05
KRAS,3,1,434,1,213,1,218,1,21477,1,5,4,0.20535282037223787,0.12759288120761614,5,2.7904636084308295e-05
ROS1,1,1,50,1,11,1,16,1,1865,1,5,4,0.20622165721940924,0.12813271989319636,5,2.7904636084308295e-05
BRCA1,1,1,161,1,481,1,51,1,14876,1,5,4,0.21761907855450544,0.13521433593258667,5,2.7904636084308295e-05
SCN5A,11,1,1565,1,23,1,9,1,27,1,5,4,0.23191541806641364,0.14409715110766014,5,2.9559562518474725e-06
BRCA2,0,0,71,1,404,1,22,1,8999,1,4,4,0.23592810577722434,0.14659037416386486,4,3.409856069534084e-05
NTRK1,0,0,6,1,14,1,12,1,655,1,4,4,0.2369160701389782,0.14720423093592241,4,5.312972478196771e-05
ERBB2,1,1,195,1,85,1,85,1,7360,1,5,4,0.23948534909697222,0.14880061370915304,5,3.387370586866869e-05
BRAF,17,1,375,1,298,1,192,1,18133,1,5,4,0.24052680336718119,0.14944770562998014,5,3.387370586866869e-05
CHEK2,0,0,13,1,64,1,2,1,1343,1,4,4,0.24570347795845,0.15266415439838255,4,3.409856069534084e-05
NRAS,2,1,187,1,61,1,63,1,5579,1,5,4,0.2597442986670714,0.16138820681453708,5,3.387370586866869e-05
CDK4,0,0,228,1,108,1,76,1,7132,1,4,4,0.2659580676947963,0.16524903858674708,4,3.387370586866869e-05
ALK,1,1,266,1,125,1,171,1,8643,1,5,4,0.29505688733604446,0.18332915178430395,5,5.312972478196771e-05
CHEK1,0,0,11,1,5,1,5,1,312,1,4,4,0.2997694517731959,0.1862572327004694,4,5.312972478196771e-05
BMI1,0,0,47,1,31,1,21,1,1435,1,4,4,0.3067905035857865,0.19061965746898504,4,5.312972478196771e-05
MDM2,0,0,231,1,128,1,76,1,6123,1,4,4,0.3104331617047227,0.19288296821293727,4,5.312972478196771e-05
PIK3CA,4,1,267,1,132,1,61,1,6207,1,5,4,0.3208822478382493,0.1993753504619198,5,5.312972478196771e-05
PDGFRA,0,0,92,1,31,1,37,1,2042,1,4,4,0.33129802818187554,0.20584703866011408,4,6.630452336438095e-05
RAD52,0,0,3,1,11,1,1,1,174,1,4,4,0.3351422164836083,0.20823556714700603,4,4.006763047970123e-05
CDK6,0,0,80,1,33,1,47,1,2032,1,4,4,0.33664252176017895,0.2091677592278435,4,6.630452336438095e-05
